GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "00000","United States", ,SQGDP9,35,"44-45","   Retail trade ","Millions of chained 2012 dollars",957190.0,982397.0,1004838.0,979166.0,991570.0,999487.0,976864.0,988066.0,973661.0,948381.0,950974.0,955725.0,939690.0,932592.0,919743.0,893699.0,882988.0,878638.0,870075.0,892197.0,888075.0,902935.0,905438.0,908022.0,906730.0,902953.0,895082.0,908241.0,914201.0,895764.0,916485.0,913573.0,941765.0,934813.0,934176.0,940136.0,943867.0,956844.0,963769.0,955943.0,971686.0,989049.0,999541.0,1002699.0,1018633.0,1019780.0,1031665.0,1040191.0,1042348.0,1050984.0,1073934.0,1075727.0,1092162.0,1086793.0,1104756.0,1090051.0,1106804.0,1109843.0,1125677.0,1124940.0,1105020.0,1006021.0,1115158.0,1112910.0,1156954.0,1119617.0,1078767.0,1097276.0,1054315.0,1057946.0,1075536.0,1096785.0,1123839.0
 "00000","United States", ,SQGDP9,36,"48-49","   Transportation and warehousing ","Millions of chained 2012 dollars",429303.0,437160.0,461355.0,468109.0,468247.0,479838.0,478730.0,475990.0,463987.0,478371.0,467702.0,479199.0,473136.0,473647.0,468038.0,456892.0,431059.0,438508.0,438556.0,446943.0,444548.0,453219.0,468019.0,478054.0,468597.0,472909.0,467059.0,471323.0,475621.0,473193.0,472497.0,471929.0,478683.0,474504.0,478290.0,488069.0,486748.0,489588.0,500768.0,500351.0,494965.0,505245.0,513812.0,514475.0,504483.0,514442.0,514446.0,525333.0,529999.0,534841.0,537927.0,542831.0,555615.0,552302.0,557489.0,561688.0,560466.0,562052.0,567547.0,560126.0,547200.0,431693.0,495424.0,505633.0,524978.0,516354.0,538126.0,548539.0,533246.0,536375.0,550380.0,557291.0,561882.0
 "00000","United States", ,SQGDP9,45,"51","   Information ","Millions of chained 2012 dollars",595225.0,606177.0,602997.0,604957.0,604103.0,616955.0,639264.0,635282.0,654053.0,675805.0,697077.0,717068.0,718128.0,743251.0,746783.0,710912.0,700502.0,700524.0,704193.0,733214.0,732688.0,741543.0,766079.0,766987.0,761137.0,767063.0,763623.0,765172.0,762044.0,772394.0,761160.0,755241.0,812871.0,818927.0,832725.0,856826.0,835501.0,848139.0,855522.0,865079.0,901528.0,923822.0,950464.0,981201.0,1007385.0,1014264.0,1030350.0,1036131.0,1054406.0,1069568.0,1096683.0,1122340.0,1136122.0,1171832.0,1188513.0,1194378.0,1208679.0,1235213.0,1254662.0,1268887.0,1265043.0,1247981.0,1322063.0,1328538.0,1381554.0,1459038.0,1492414.0,1549716.0,1540678.0,1546520.0,1609459.0,1634460.0,1652514.0
 "00000","United States", ,SQGDP9,51,"52","   Finance and insurance ","Millions of chained 2012 dollars",1009698.0,1023931.0,1044027.0,1057827.0,1082917.0,1059316.0,1067288.0,1070278.0,1082565.0,1046091.0,1025842.0,973669.0,997305.0,950888.0,882839.0,772090.0,1026276.0,1132910.0,1153932.0,1131914.0,1115640.0,1080748.0,1040967.0,1046595.0,1072365.0,1051847.0,1079236.0,1098171.0,1146546.0,1171144.0,1191509.0,1180570.0,1094782.0,1101688.0,1100703.0,1132887.0,1137201.0,1168576.0,1168764.0,1186010.0,1207818.0,1233799.0,1188660.0,1192681.0,1187276.0,1214864.0,1240283.0,1254844.0,1224009.0,1183806.0,1201088.0,1203491.0,1195390.0,1203257.0,1224408.0,1186385.0,1222133.0,1233541.0,1236554.0,1277613.0,1220597.0,1255818.0,1289631.0,1338405.0,1341793.0,1362111.0,1368935.0,1399266.0,1378924.0,1386217.0,1376685.0,1356249.0,1337220.0
 "00000","United States", ,SQGDP9,56,"53","   Real estate and rental and leasing ","Millions of chained 2012 dollars",1782581.0,1802987.0,1806035.0,1815264.0,1804426.0,1809718.0,1823880.0,1868290.0,1887850.0,1906520.0,1938949.0,1983190.0,1994431.0,2009545.0,2002750.0,1998326.0,1971548.0,1938907.0,1938928.0,1948665.0,1987636.0,2031348.0,2044493.0,2069831.0,2044768.0,2083103.0,2078108.0,2114284.0,2097604.0,2112887.0,2132319.0,2124402.0,2147031.0,2150291.0,2181027.0,2183884.0,2173216.0,2174571.0,2184075.0,2178592.0,2175502.0,2166611.0,2172052.0,2173110.0,2179651.0,2191293.0,2189812.0,2190066.0,2206365.0,2220907.0,2225903.0,2239218.0,2263773.0,2279627.0,2291693.0,2306807.0,2317645.0,2328907.0,2348656.0,2343132.0,2332505.0,2246478.0,2301473.0,2291312.0,2326642.0,2345883.0,2374735.0,2417876.0,2430111.0,2440907.0,2462202.0,2447511.0,2462646.0
 "00000","United States", ,SQGDP9,60,"54","   Professional, scientific, and technical services ","Millions of chained 2012 dollars",969939.0,966256.0,973348.0,980391.0,1003691.0,1007051.0,1011449.0,1021711.0,1024237.0,1030029.0,1057440.0,1087462.0,1104397.0,1130652.0,1147647.0,1141783.0,1094076.0,1062637.0,1057524.0,1050278.0,1069382.0,1083159.0,1106232.0,1119747.0,1122762.0,1143512.0,1147444.0,1155572.0,1179408.0,1193734.0,1192792.0,1201230.0,1190969.0,1182185.0,1193710.0,1208524.0,1211491.0,1229750.0,1266933.0,1272964.0,1283583.0,1293594.0,1307514.0,1314105.0,1334031.0,1334758.0,1334556.0,1349215.0,1354077.0,1373730.0,1390379.0,1411522.0,1437336.0,1461338.0,1475294.0,1485019.0,1503933.0,1517305.0,1541153.0,1547934.0,1550925.0,1451125.0,1540068.0,1561926.0,1605998.0,1671940.0,1730397.0,1773516.0,1775411.0,1789891.0,1823798.0,1859885.0,1868347.0
 "00000","United States", ,SQGDP9,64,"55","   Management of companies and enterprises ","Millions of chained 2012 dollars",284011.0,277920.0,277171.0,276983.0,282249.0,280467.0,274488.0,274472.0,275469.0,269533.0,269375.0,270904.0,269276.0,272811.0,276110.0,273602.0,246328.0,248785.0,255335.0,256807.0,263236.0,266602.0,270611.0,278270.0,281624.0,282497.0,278542.0,280228.0,293975.0,295066.0,301565.0,317938.0,305783.0,312916.0,321787.0,327606.0,339837.0,334471.0,338356.0,340734.0,346275.0,346683.0,347632.0,348553.0,347898.0,349018.0,352025.0,358034.0,363122.0,370410.0,377851.0,397357.0,392683.0,396550.0,410437.0,416168.0,429305.0,432834.0,433242.0,436438.0,434423.0,426042.0,433964.0,466214.0,470613.0,488729.0,484801.0,508187.0,509350.0,519390.0,525273.0,539467.0,535838.0
 "00000","United States", ,SQGDP9,65,"56","   Administrative and support and waste management and remediation services ","Millions of chained 2012 dollars",411786.0,417950.0,421171.0,423712.0,428148.0,426533.0,426708.0,431567.0,439589.0,449976.0,457723.0,463256.0,454925.0,455576.0,455077.0,445868.0,422724.0,413134.0,410356.0,418511.0,435547.0,441973.0,447834.0,455120.0,455571.0,460083.0,462524.0,462581.0,474640.0,473358.0,475106.0,476692.0,475500.0,479119.0,484619.0,488081.0,491453.0,499623.0,503460.0,506267.0,507573.0,506258.0,508794.0,507236.0,504876.0,503726.0,507986.0,517718.0,529231.0,536958.0,544121.0,551857.0,554322.0,557619.0,565707.0,575614.0,575120.0,577001.0,580293.0,580150.0,575752.0,493235.0,546301.0,566823.0,593966.0,604620.0,626952.0,652760.0,671573.0,678431.0,680730.0,679747.0,682967.0
 "00000","United States", ,SQGDP9,69,"61","   Educational services ","Millions of chained 2012 dollars",171781.0,171036.0,172619.0,172235.0,174994.0,176648.0,176628.0,176892.0,176720.0,177708.0,179736.0,182174.0,184386.0,187953.0,193380.0,196799.0,205216.0,205242.0,205733.0,207348.0,209676.0,212043.0,212799.0,214035.0,214407.0,214889.0,213054.0,212375.0,214936.0,215761.0,214176.0,211888.0,209751.0,209734.0,210318.0,212822.0,210809.0,212540.0,214322.0,214060.0,214112.0,213371.0,214035.0,217155.0,220021.0,221392.0,219966.0,220822.0,218040.0,216793.0,216890.0,216984.0,220002.0,221596.0,223163.0,225969.0,227544.0,229448.0,229555.0,226732.0,221951.0,196467.0,205570.0,199219.0,204972.0,210376.0,216153.0,218957.0,221711.0,219413.0,222442.0,225125.0,225207.0
 "00000","United States", ,SQGDP9,70,"62","   Health care and social assistance ","Millions of chained 2012 dollars",979997.0,987310.0,1004938.0,1011092.0,1032867.0,1041005.0,1038053.0,1042881.0,1034827.0,1038639.0,1047745.0,1061214.0,1083992.0,1102241.0,1121601.0,1138595.0,1136300.0,1140280.0,1138882.0,1145921.0,1137173.0,1147104.0,1155888.0,1159772.0,1160931.0,1171734.0,1176849.0,1180661.0,1194297.0,1189565.0,1191811.0,1204623.0,1212080.0,1213442.0,1216299.0,1221605.0,1222130.0,1229839.0,1246821.0,1258616.0,1278896.0,1287262.0,1298639.0,1305128.0,1320509.0,1328420.0,1327225.0,1340706.0,1348354.0,1357257.0,1362528.0,1370606.0,1389035.0,1392249.0,1401069.0,1409912.0,1423369.0,1433862.0,1445060.0,1455194.0,1451895.0,1259572.0,1461360.0,1488166.0,1468686.0,1476347.0,1482836.0,1503021.0,1513561.0,1527902.0,1548278.0,1566348.0,1599081.0
